#name;Skill type(1:Power, 2:Technique, 3:Mobility, 4:Defense, 5:Utility, 6:Unique skill)
acidic;2
aetherborne;5
aetherhunter;1
aetheric_attunement;5
aetheric_frenzy;5
agility;3
assassins_vigor;4
barbed;2
bladestorm;2
bloodless;4
conditioning;3
cunning;2
deconstruction;1
endurance;3
energized;5
evasion;3
evasive_fury;2
fireproof;4
fleet_footed;3
fortress;4
insulated;4
knockout_king;1
medic;5
merciless;2
nimble;3
nine_lives;4
overpower;1
pacifier;1
rage;1
ragehunter;1
savagery;2
sharpened;1
shellshock_resist;4
stunning_vigor;5
sturdy;4
swift;3
tough;4
vampiric;5
warmth;4
weighted_strikes;2
wild_frenzy;2
unique_shockjaw_scp;6
unique_shockjaw_h;6
unique_shockjaw_a;6
unique_razorwing_a;6
unique_razorwing_h;6
unique_bloodfire_a;6
unique_bloodfire_c;6
unique_bloodfire_h1;6
unique_bloodfire_h1;6
unique_bloodfire_s;6
unique_bloodfire_p1;6
unique_bloodfire_p2;6
unique_moonreaver;6
unique_rezakiri2;6
unique_rezakiri_s;6
unique_rezakiri_h;6
unique_rezakiri_c;6
unique_rezakiri_a;6
unique_rezakiri_p;6
unique_shrowd;6
unique_hunger_1;6
unique_hunger_2;6
unique_godhand;6
unique_tragic_echo;6
unique_prismatic_graze;6
